KP,Location,D_o,h,sigma_y,t_corr,f_tol,E,v,f_0
46,seabed,0.2,115,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
47,seabed,0.2,82,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
48,seabed,0.2,93,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
49,seabed,0.2,109,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
50,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
51,seabed,0.2,98,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
52,seabed,0.2,97,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
53,seabed,0.2,102,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
54,seabed,0.2,124,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
55,seabed,0.2,130,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
56,seabed,0.2,102,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
57,seabed,0.2,144,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
58,seabed,0.2,127,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
59,seabed,0.2,127,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
60,seabed,0.2,100,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
61,seabed,0.2,110,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
62,seabed,0.2,83,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
63,seabed,0.2,132,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
64,seabed,0.2,147,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
65,seabed,0.2,84,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
66,seabed,0.2,108,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
67,seabed,0.2,84,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
68,seabed,0.2,129,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
69,seabed,0.2,109,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
70,seabed,0.2,106,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
71,seabed,0.2,99,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
72,seabed,0.2,85,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
73,seabed,0.2,95,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
74,seabed,0.2,128,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
75,seabed,0.2,139,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
76,seabed,0.2,104,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
77,seabed,0.2,135,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
78,seabed,0.2,99,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
79,seabed,0.2,102,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
80,seabed,0.2,134,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
81,seabed,0.2,95,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
82,seabed,0.2,110,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
83,seabed,0.2,99,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
84,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
85,seabed,0.2,123,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
86,seabed,0.2,134,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
87,seabed,0.2,83,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
88,seabed,0.2,121,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
89,seabed,0.2,121,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
90,seabed,0.2,87,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
91,seabed,0.2,122,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
92,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
93,seabed,0.2,116,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
94,seabed,0.2,139,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
95,seabed,0.2,88,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
96,seabed,0.2,111,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
97,seabed,0.2,138,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
98,seabed,0.2,129,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
99,seabed,0.2,108,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
100,seabed,0.2,124,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
101,seabed,0.2,81,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
102,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
103,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
104,seabed,0.2,135,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
105,seabed,0.2,139,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
106,seabed,0.2,142,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
107,seabed,0.2,136,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
108,seabed,0.2,115,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
109,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
110,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
111,seabed,0.2,139,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
112,seabed,0.2,136,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
113,seabed,0.2,88,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
114,seabed,0.2,95,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
115,seabed,0.2,144,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
116,seabed,0.2,113,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
117,seabed,0.2,92,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
118,seabed,0.2,97,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
119,seabed,0.2,149,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
120,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
121,seabed,0.2,133,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
122,seabed,0.2,146,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
123,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
124,seabed,0.2,143,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
125,seabed,0.2,114,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
126,seabed,0.2,82,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
127,seabed,0.2,101,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
128,seabed,0.2,117,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
129,seabed,0.2,134,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
130,seabed,0.2,109,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
131,seabed,0.2,129,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
132,seabed,0.2,123,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
133,seabed,0.2,131,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
134,seabed,0.2,84,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
135,seabed,0.2,82,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
136,seabed,0.2,112,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
137,seabed,0.2,88,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
138,seabed,0.2,142,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
139,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
140,seabed,0.2,122,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
141,seabed,0.2,126,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
142,seabed,0.2,144,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
143,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
144,seabed,0.2,139,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
145,seabed,0.2,114,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
146,seabed,0.2,95,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
147,seabed,0.2,103,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
148,seabed,0.2,111,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
149,seabed,0.2,100,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
150,seabed,0.2,133,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
151,seabed,0.2,117,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
152,seabed,0.2,88,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
153,seabed,0.2,144,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
154,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
155,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
156,seabed,0.2,110,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
157,seabed,0.2,97,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
158,seabed,0.2,108,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
159,seabed,0.2,120,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
160,seabed,0.2,84,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
161,seabed,0.2,95,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
162,seabed,0.2,140,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
163,seabed,0.2,80,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
164,seabed,0.2,104,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
165,seabed,0.2,104,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
166,seabed,0.2,134,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
167,seabed,0.2,80,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
168,seabed,0.2,82,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
169,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
170,seabed,0.2,97,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
171,seabed,0.2,85,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
172,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
173,seabed,0.2,150,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
174,seabed,0.2,144,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
175,seabed,0.2,130,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
176,seabed,0.2,88,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
177,seabed,0.2,147,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
178,seabed,0.2,146,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
179,seabed,0.2,83,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
180,seabed,0.2,83,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
181,seabed,0.2,106,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
182,seabed,0.2,85,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
183,seabed,0.2,121,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
184,seabed,0.2,103,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
185,seabed,0.2,105,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
186,seabed,0.2,143,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
187,seabed,0.2,135,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
188,seabed,0.2,109,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
189,seabed,0.2,101,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
190,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
191,seabed,0.2,143,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
192,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
193,seabed,0.2,102,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
194,seabed,0.2,89,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
195,seabed,0.2,146,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
196,seabed,0.2,120,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
197,seabed,0.2,150,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
198,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
199,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
200,seabed,0.2,99,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
201,seabed,0.2,84,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
202,seabed,0.2,99,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
203,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
204,seabed,0.2,121,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
205,seabed,0.2,120,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
206,seabed,0.2,84,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
207,seabed,0.2,89,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
208,seabed,0.2,88,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
209,seabed,0.2,140,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
210,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
211,seabed,0.2,106,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
212,seabed,0.2,80,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
213,seabed,0.2,83,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
214,seabed,0.2,126,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
215,seabed,0.2,82,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
216,seabed,0.2,89,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
217,seabed,0.2,123,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
218,seabed,0.2,99,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
219,seabed,0.2,89,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
220,seabed,0.2,139,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
221,seabed,0.2,128,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
222,seabed,0.2,129,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
223,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
224,seabed,0.2,118,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
225,seabed,0.2,144,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
226,seabed,0.2,117,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
227,seabed,0.2,145,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
228,seabed,0.2,98,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
229,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
230,seabed,0.2,105,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
231,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
232,seabed,0.2,129,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
233,seabed,0.2,134,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
234,seabed,0.2,126,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
235,seabed,0.2,89,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
236,seabed,0.2,123,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
237,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
238,seabed,0.2,109,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
239,seabed,0.2,131,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
240,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
241,seabed,0.2,117,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
242,seabed,0.2,102,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
243,seabed,0.2,108,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
244,seabed,0.2,122,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
245,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
246,seabed,0.2,116,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
247,seabed,0.2,84,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
248,seabed,0.2,84,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
249,seabed,0.2,138,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
250,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
251,seabed,0.2,145,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
252,seabed,0.2,147,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
253,seabed,0.2,97,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
254,seabed,0.2,135,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
255,seabed,0.2,91,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
256,seabed,0.2,80,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
257,seabed,0.2,86,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
258,seabed,0.2,93,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
259,seabed,0.2,145,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
260,seabed,0.2,126,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
261,seabed,0.2,132,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
262,seabed,0.2,94,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
263,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
264,seabed,0.2,94,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
265,seabed,0.2,91,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
266,seabed,0.2,95,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
267,seabed,0.2,118,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
268,seabed,0.2,120,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
269,seabed,0.2,138,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
270,seabed,0.2,86,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
271,seabed,0.2,140,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
272,seabed,0.2,149,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
273,seabed,0.2,99,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
274,seabed,0.2,85,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
275,seabed,0.2,91,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
276,seabed,0.2,128,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
277,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
278,seabed,0.2,113,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
279,seabed,0.2,135,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
280,seabed,0.2,131,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
281,seabed,0.2,141,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
282,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
283,seabed,0.2,112,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
284,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
285,seabed,0.2,140,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
286,seabed,0.2,124,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
287,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
288,seabed,0.2,149,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
289,seabed,0.2,131,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
290,seabed,0.2,150,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
291,seabed,0.2,92,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
292,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
293,seabed,0.2,124,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
294,seabed,0.2,98,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
295,seabed,0.2,121,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
296,seabed,0.2,86,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
297,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
298,seabed,0.2,113,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
299,seabed,0.2,93,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
300,seabed,0.2,81,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
301,seabed,0.2,85,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
302,seabed,0.2,80,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
303,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
304,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
305,seabed,0.2,150,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
306,seabed,0.2,141,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
307,seabed,0.2,124,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
308,seabed,0.2,95,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
309,seabed,0.2,85,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
310,seabed,0.2,116,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
311,seabed,0.2,92,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
312,seabed,0.2,108,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
313,seabed,0.2,119,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
314,seabed,0.2,83,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
315,seabed,0.2,117,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
316,seabed,0.2,120,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
317,seabed,0.2,89,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
318,seabed,0.2,95,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
319,seabed,0.2,111,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
320,seabed,0.2,126,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
321,seabed,0.2,118,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
322,seabed,0.2,88,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
323,seabed,0.2,126,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
324,seabed,0.2,91,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
325,seabed,0.2,92,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
326,seabed,0.2,146,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
327,seabed,0.2,110,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
328,seabed,0.2,120,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
329,seabed,0.2,135,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
330,seabed,0.2,150,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
